character,freq,novel
Jacky Torrance,1,TheShining
Jack Glad,1,TheShining
Harding Roosevelt,1,TheShining
Wendy Shining,1,TheShining
Danny Sleep,1,TheShining
Revolted Brett,1,TheShining
Braddock Not,1,TheShining
Jack Als,1,TheShining
Jeeeesus Hallorann,1,TheShining
Samuel Johnson,1,TheShining
Danny fifteen minutes to drink,1,TheShining
Shhh Wendy,1,TheShining
Halloranns Bushmills,1,TheShining
Brant Her Hallorann,1,TheShining
Woof Woof,1,TheShining
Danny Danny Danny S,1,TheShining
Arthur Longley Shockley,1,TheShining
Stovington Prep,1,TheShining
Brett Mike,1,TheShining
iif suhsomeone,1,TheShining
McIver Hallorann,1,TheShining
Glenn Millers,1,TheShining
Warren G Harding,1,TheShining
Unmask Unmask Derwent,1,TheShining
John Daniel Torrances,1,TheShining
Roque Jack,1,TheShining
Grieg Handel the Beatles Art,1,TheShining
Danny jacketless,1,TheShining
botha long book,1,TheShining
John Tor,1,TheShining
Stu Ullman,1,TheShining
Danny Mommys,1,TheShining
Al Jack,1,TheShining
Tony Hallorann,1,TheShining
Brittle yellow aspen,1,TheShining
First Jack,1,TheShining
Charlie Battaglia,1,TheShining
Danny Dannee,1,TheShining
Panic Jack,1,TheShining
J C Fogerty,1,TheShining
Paul DeLong,1,TheShining
Christopher Robin,1,TheShining
Little Margery Morris,1,TheShining
Miss Strong,1,TheShining
George Hatfields,1,TheShining
Sidwndr Ibry,1,TheShining
Paul DeLong Monkey,1,TheShining
Jean Harlow,1,TheShining
George Hatfield Tall,1,TheShining
Rocking W Lazy B,1,TheShining
Whooo Wendy,1,TheShining
Wendy Missus,1,TheShining
Torrance Croquet,1,TheShining
chin Durkin,1,TheShining
Carl JimmyRicks Prashkin,1,TheShining
Jack Anderson,1,TheShining
Doc Danny,1,TheShining
Garfunkel Bach Liszt,1,TheShining
Danny ole,1,TheShining
Yeess Danny,1,TheShining
Dick Danny,1,TheShining
Charles Baby,1,TheShining
Vic Stenger,1,TheShining
Danny Far,1,TheShining
re plannin,1,TheShining
de massa callin,1,TheShining
Gary Bensonthe,1,TheShining
the Overlook Jack,1,TheShining
Brian Hatfield,1,TheShining
Jack Hon Wendy,1,TheShining
Clark Gable,1,TheShining
Jack Wendy,1,TheShining
Danny Tony,1,TheShining
Danny Who,1,TheShining
Anthony Torrance,1,TheShining
Sylvia Hunter Derwent,1,TheShining
laterand Ullman,1,TheShining
Tom Staunton,1,TheShining
Torrance Shhhh,1,TheShining
Grammas Danny,1,TheShining
Scotty Aaronson,1,TheShining
Dr Edmonds,1,TheShining
Peggy Lee Did,1,TheShining
Nothin Hallorann,1,TheShining
Harry Effinger,1,TheShining
Harry Derwent,1,TheShining
Dick Halloranns Nana,1,TheShining
Jack Hmmmm,1,TheShining
VI Danny,1,TheShining
Danny I,1,TheShining
Tony Dan Danny,1,TheShining
Jesus Jack,1,TheShining
Dick Come,1,TheShining
a  Stenger,1,TheShining
DICK Hallorann,1,TheShining
Dinner Will Be,1,TheShining
Uncle AI,1,TheShining
Shh Hallorann,1,TheShining
Later Ullman,1,TheShining
Darryl F Zanuck,1,TheShining
Hush Puppies,1,TheShining
ROQUE Daddy,1,TheShining
William G Thompson,1,TheShining
Danny This,1,TheShining
Al He,1,TheShining
Marilyn Miller,1,TheShining
Al Grace,1,TheShining
Danny Edmonds,1,TheShining
St Pete,1,TheShining
Charles Grondin Jack,1,TheShining
Rowf Rowf Derwent,1,TheShining
